,COMPANY NAME,RANK 2020,2020 REVENUE(₹ Cr),2020 PAT IN CRORES,2020 MARKET CAP(₹ Cr),2020 COMPANY TYPE,2020 REVENUE(₹ Cr)_%CHANGE,2020 PAT IN CRORES_%CHANGE,PAT% CATEGORY,REVENUE% CATEGORY
97,MRF Ltd.,100,16574,1422,30858.0,Large-Cap,0.5459839844697889,25.840707964601773,MODERATE,LOW
98,Federal Bank Ltd.,104,15472,1580,11407.0,Mid-Cap,19.290670778720123,20.060790273556233,MODERATE,MODERATE
99,NMDC Ltd.,129,12390,3572,28275.0,Large-Cap,-2.7548858017424065,-22.65049805110437,NEGATIVE,NEGATIVE
100,InterGlobe Aviation Ltd.,53,37291,-233,59926.0,Large-Cap,25.04946178867241,-248.4076433121019,NEGATIVE,MODERATE
101,Exide Industries Ltd.,109,14532,776,14320.0,Mid-Cap,-2.266460421010155,-8.165680473372781,NEGATIVE,NEGATIVE
102,Lupin Ltd.,102,15992,-269,40877.0,Large-Cap,-6.39742464149839,-144.3894389438944,NEGATIVE,NEGATIVE
103,Adani Ports & Special Economic Zone Ltd.,113,13734,3763,76544.0,Large-Cap,11.776674534060389,-5.68922305764411,NEGATIVE,LOW
104,Indus Towers Ltd.,180,8589,3298,35512.0,Large-Cap,2.4329159212880143,32.29041315683915,MODERATE,LOW
105,Cadila Healthcare Ltd.,110,14367,1176,43893.0,Large-Cap,7.4891515786323515,-36.36363636363637,NEGATIVE,LOW
106,Bandhan Bank Ltd.,128,12434,3023,55188.0,Large-Cap,61.33385234202673,54.94618144541261,HIGH,HIGH
107,Bank of Maharashtra,118,13155,398,7460.0,Mid-Cap,5.943464604977048,-108.35607810203653,NEGATIVE,LOW
108,L&T Finance Holdings Ltd.,108,14571,1700,14237.0,Mid-Cap,9.54815427411473,-23.62982929020665,NEGATIVE,LOW
109,Coromandel International Ltd.,117,13177,1065,22340.0,Large-Cap,-0.6409289699894435,47.91666666666667,MODERATE,NEGATIVE
110,Bharat Electronics Ltd.,121,13067,1823,23980.0,Large-Cap,6.782708180109504,-3.340402969247084,NEGATIVE,LOW
111,ACC Ltd.,103,15990,1377,31542.0,Large-Cap,6.927912264277117,-9.407894736842106,NEGATIVE,LOW
112,Shree Cements Ltd.,119,13142,1530,83888.0,Large-Cap,2.6398000624804747,52.087475149105366,HIGH,LOW
113,Cholamandalam Financial Holdings Ltd.,120,13135,550,8480.0,Mid-Cap,19.998172848529144,-20.977011494252874,NEGATIVE,MODERATE
114,Bombay Burmah Trading Corporation Ltd.,131,12346,598,8793.0,Mid-Cap,2.185068697235557,-32.65765765765766,NEGATIVE,LOW
115,Piramal Enterprises Ltd.,107,14623,24,31252.0,Large-Cap,8.094322885866351,-98.37067209775967,NEGATIVE,LOW
116,Nestle India Ltd.,124,12615,1969,165267.0,Large-Cap,9.211323694918189,22.602739726027394,MODERATE,LOW
117,Britannia Industries Ltd.,136,11879,1402,84706.0,Large-Cap,5.487967320841843,20.96635030198447,MODERATE,LOW
118,Kalpataru Power Transmissions Ltd.,123,12723,389,4299.0,Small-Cap,16.89636163175303,-16.523605150214593,NEGATIVE,MODERATE
119,Chambal Fertilisers & Chemicals Ltd.,126,12512,1226,7391.0,Mid-Cap,20.58596761757903,107.79661016949153,EXCELLENT,MODERATE
120,KEC International Ltd.,134,11976,565,8729.0,Mid-Cap,8.556925308194344,14.14141414141414,LOW,LOW
121,ICICI Lombard General Insurance Company Ltd.,127,12450,1193,59424.0,Large-Cap,21.7484842558185,13.727359389895138,LOW,MODERATE
122,Larsen & Toubro Infotech Ltd.,142,11207,1520,53749.0,Large-Cap,14.967172753385311,0.33003300330033003,LOW,LOW
123,NLC India Ltd.,137,11775,1441,6920.0,Mid-Cap,-2.2497094471193755,-4.37956204379562,NEGATIVE,NEGATIVE
124,Mahindra & Mahindra Financial Services Ltd.,133,12042,1075,18100.0,Mid-Cap,14.937482103655627,-41.16037219485496,NEGATIVE,LOW
125,Jindal Stainless Ltd.,122,13037,71,3007.0,Small-Cap,-4.511828902072804,-50.0,NEGATIVE,NEGATIVE
126,Torrent Power Ltd.,112,13842,1174,14902.0,Mid-Cap,3.6232969007336426,30.734966592427615,MODERATE,LOW
127,CESC Ltd.,135,11949,1302,7720.0,Mid-Cap,3.832116788321168,10.059171597633137,LOW,LOW
128,National Fertilizers Ltd.,116,13191,-171,1622.0,Small-Cap,7.235184131371433,-157.96610169491524,NEGATIVE,LOW
129,Tata Consumer Products Ltd.,156,9759,459,47123.0,Large-Cap,31.73596112311015,12.5,LOW,MODERATE
130,Gujarat State Petronet Ltd.,130,12351,1729,10977.0,Mid-Cap,30.037902716361337,73.24649298597194,HIGH,MODERATE
131,Muthoot Finance Ltd.,159,9707,3138,47400.0,Large-Cap,27.70688067359558,51.01058710298364,HIGH,MODERATE
132,Godrej Consumer Products Ltd.,152,10033,1496,70082.0,Large-Cap,-6.1810360950065455,-36.095685604442544,NEGATIVE,NEGATIVE
133,NHPC Ltd.,146,10942,2874,20823.0,Large-Cap,1.691449814126394,10.751445086705203,LOW,LOW
134,Adani Transmission Ltd.,139,11681,741,37315.0,Large-Cap,52.57314524555904,32.55813953488372,MODERATE,HIGH
135,Glenmark Pharmaceuticals Ltd.,147,10833,775,13637.0,Mid-Cap,5.791015625,-16.125541125541126,NEGATIVE,LOW
136,Rain Industries Ltd.,125,12517,391,3615.0,Small-Cap,-11.163946061036196,-32.70223752151463,NEGATIVE,NEGATIVE
137,Quess Corp Ltd.,145,11042,-444,6305.0,Mid-Cap,28.425215166317745,-273.4375,NEGATIVE,MODERATE
138,Jindal Saw Ltd.,138,11736,554,2057.0,Small-Cap,-7.159243730717507,-34.8235294117647,NEGATIVE,NEGATIVE
139,Edelweiss Financial Services Ltd.,160,9602,-2045,5410.0,Mid-Cap,-11.754434335079496,-305.52763819095475,NEGATIVE,NEGATIVE
140,Tata Chemicals Ltd.,97,17080,7006,8549.0,Mid-Cap,41.50787075393538,506.5800865800866,EXCELLENT,MODERATE
141,Apollo Hospitals Enterprise Ltd.,140,11472,454,30799.0,Large-Cap,18.89314954917608,92.37288135593221,HIGH,MODERATE
142,Havells India Ltd.,163,9553,735,51193.0,Large-Cap,-6.094564042072151,-6.369426751592357,NEGATIVE,NEGATIVE
143,RBL Bank Ltd.,148,10696,500,10989.0,Mid-Cap,38.13767273666537,-41.656942823803966,NEGATIVE,MODERATE
144,Allcargo Logistics Ltd.,202,7464,223,3013.0,Small-Cap,7.659022068368672,-7.468879668049793,NEGATIVE,LOW
145,Godrej Industries Ltd.,132,12297,552,13142.0,Mid-Cap,0.11397866970609787,-6.281833616298811,NEGATIVE,LOW
146,Siemens Ltd.,111,14166,1099,49285.0,Large-Cap,0.0,0.0,NEGATIVE,NEGATIVE
147,Dilip Buildcon Ltd.,154,9832,357,4780.0,Small-Cap,3.8993976540209236,-34.73491773308958,NEGATIVE,LOW
148,Bosch Ltd.,149,10453,649,35481.0,Large-Cap,-18.67268342021318,-59.386733416770966,NEGATIVE,NEGATIVE
149,BASF India Ltd.,199,7578,18,6511.0,Mid-Cap,22.068298969072163,-77.77777777777779,NEGATIVE,MODERATE
150,Indiabulls Housing Finance Ltd.,114,13223,2199,7767.0,Mid-Cap,-22.340987842837844,-46.23471882640587,NEGATIVE,NEGATIVE
151,Gujarat Gas Ltd.,150,10384,1198,21751.0,Large-Cap,31.994407016651838,186.60287081339712,EXCELLENT,MODERATE
152,Dabur India Ltd.,170,8989,1444,90527.0,Large-Cap,2.008624602814344,0.13869625520110956,LOW,LOW
153,MphasiS Ltd.,168,9021,1184,24823.0,Large-Cap,14.088782091817379,10.344827586206897,LOW,LOW
154,Jindal Stainless (Hisar) Ltd.,162,9557,392,2653.0,Small-Cap,-8.772432226040474,2.8871391076115485,LOW,NEGATIVE
155,SIS Ltd.,182,8538,225,5691.0,Mid-Cap,20.08438818565401,4.651162790697675,LOW,MODERATE
156,Cholamandalam Investment & Finance Company Ltd.,179,8712,1053,26617.0,Large-Cap,22.566122678671917,-12.103505843071787,NEGATIVE,MODERATE
157,Eicher Motors Ltd.,158,9728,1827,65451.0,Large-Cap,-7.334730424842826,-17.029972752043594,NEGATIVE,NEGATIVE
158,JK Tyre & Industries Ltd.,177,8753,150,1873.0,Small-Cap,-16.25526215078454,-14.772727272727273,NEGATIVE,NEGATIVE
159,National Aluminium Company Ltd.,178,8744,136,6693.0,Mid-Cap,-26.061221038389988,-92.1523369878823,NEGATIVE,NEGATIVE
160,Alkem Laboratories Ltd.,185,8448,1127,32546.0,Large-Cap,13.487372380440624,48.28947368421053,MODERATE,LOW
161,Marico Ltd.,189,8181,1021,48197.0,Large-Cap,1.7157776948899663,-8.676207513416816,NEGATIVE,LOW
