,RANK 2021,COMPANY NAME,2021 REVENUE(₹ Cr),2021 PAT IN CRORES,2021 MARKET CAP(₹ Cr),2021 COMPANY TYPE,2021 REVENUE(₹ Cr)_%CHANGE,2021 PAT IN CRORES_%CHANGE,PAT% CATEGORY,REVENUE% CATEGORY
123,127,NLC India Ltd.,12470,1345,8990.0,Mid-Cap,5.902335456475584,-6.662040249826509,NEGATIVE,LOW
124,128,Mahindra & Mahindra Financial Services Ltd.,12438,780,22512.0,Large-Cap,3.288490284005979,-27.44186046511628,NEGATIVE,LOW
125,129,Jindal Stainless Ltd.,12348,419,8834.0,Mid-Cap,-5.284958195903966,490.14084507042253,EXCELLENT,NEGATIVE
126,130,Torrent Power Ltd.,12332,1295,25608.0,Large-Cap,-10.90882820401676,10.30664395229983,LOW,NEGATIVE
127,131,CESC Ltd.,12297,1362,11863.0,Mid-Cap,2.9123776048204872,4.6082949308755765,LOW,LOW
128,132,National Fertilizers Ltd.,11939,237,2620.0,Small-Cap,-9.49131983928436,-238.59649122807016,NEGATIVE,NEGATIVE
129,133,Tata Consumer Products Ltd.,11807,993,75641.0,Large-Cap,20.985756737370632,116.33986928104576,EXCELLENT,MODERATE
130,134,Gujarat State Petronet Ltd.,11664,2192,17734.0,Mid-Cap,-5.5623026475589015,26.778484673221513,MODERATE,NEGATIVE
131,135,Muthoot Finance Ltd.,11566,3818,62880.0,Large-Cap,19.151128051921294,21.66985340981517,MODERATE,MODERATE
132,137,Godrej Consumer Products Ltd.,11137,1720,95804.0,Large-Cap,11.003687830160471,14.973262032085561,LOW,LOW
133,138,NHPC Ltd.,11044,3582,31893.0,Large-Cap,0.9321878998354963,24.63465553235908,MODERATE,LOW
134,139,Adani Transmission Ltd.,11041,1289,207152.0,Large-Cap,-5.478982963787347,73.95411605937922,HIGH,NEGATIVE
135,140,Glenmark Pharmaceuticals Ltd.,11038,970,14562.0,Mid-Cap,1.8923659189513522,25.161290322580644,MODERATE,LOW
136,141,Rain Industries Ltd.,10920,588,7047.0,Mid-Cap,-12.75864823839578,50.38363171355499,HIGH,NEGATIVE
137,142,Quess Corp Ltd.,10914,73,13338.0,Mid-Cap,-1.159210287991306,-116.44144144144144,NEGATIVE,NEGATIVE
138,143,Jindal Saw Ltd.,10872,327,3434.0,Small-Cap,-7.361963190184049,-40.974729241877256,NEGATIVE,NEGATIVE
139,144,Edelweiss Financial Services Ltd.,10848,253,7256.0,Mid-Cap,12.97646323682566,-112.37163814180929,NEGATIVE,LOW
140,145,Tata Chemicals Ltd.,10829,436,23216.0,Large-Cap,-36.59836065573771,-93.77676277476449,NEGATIVE,NEGATIVE
141,147,Apollo Hospitals Enterprise Ltd.,10665,136,72467.0,Large-Cap,-7.0345188284518825,-70.04405286343612,NEGATIVE,NEGATIVE
142,148,Havells India Ltd.,10644,1044,84463.0,Large-Cap,11.42049617921072,42.04081632653061,MODERATE,LOW
143,149,RBL Bank Ltd.,10609,529,12067.0,Mid-Cap,-0.8133881824981302,5.800000000000001,LOW,NEGATIVE
144,150,Allcargo Logistics Ltd.,10570,95,8617.0,Mid-Cap,41.61307609860664,-57.399103139013455,NEGATIVE,MODERATE
145,152,Godrej Industries Ltd.,10348,390,20458.0,Large-Cap,-15.849394161177525,-29.347826086956523,NEGATIVE,NEGATIVE
146,153,Siemens Ltd.,10261,768,81546.0,Large-Cap,-27.566003106028518,-30.118289353958144,NEGATIVE,NEGATIVE
147,154,Dilip Buildcon Ltd.,10242,418,8365.0,Mid-Cap,4.170056956875508,17.086834733893557,MODERATE,LOW
148,155,Bosch Ltd.,10193,480,52136.0,Large-Cap,-2.487324213144552,-26.040061633281976,NEGATIVE,NEGATIVE
149,156,BASF India Ltd.,10040,552,12749.0,Mid-Cap,32.48878332013724,2966.666666666667,EXCELLENT,MODERATE
150,157,Indiabulls Housing Finance Ltd.,10030,1201,10489.0,Mid-Cap,-24.14731906526507,-45.38426557526149,NEGATIVE,NEGATIVE
151,158,Gujarat Gas Ltd.,9930,1277,44807.0,Large-Cap,-4.37211093990755,6.59432387312187,LOW,NEGATIVE
152,159,Dabur India Ltd.,9871,1694,106827.0,Large-Cap,9.811992435198576,17.31301939058172,MODERATE,LOW
153,160,MphasiS Ltd.,9855,1216,61579.0,Large-Cap,9.245094778849351,2.7027027027027026,LOW,LOW
154,162,Jindal Stainless (Hisar) Ltd.,9694,695,7670.0,Mid-Cap,1.4335042377315057,77.29591836734694,HIGH,LOW
155,163,SIS Ltd.,9605,367,7056.0,Mid-Cap,12.497071913797143,63.11111111111111,HIGH,LOW
